ID,Media_GAP,Gap,BKS,Mean_Time,Solver_Time,Perc_Fact
1,0.0,0.0,0.0,0.02,0.51,100.0
2,0.0,0.0,0.0,0.02,0.67,100.0
3,0.0,0.0,0.0,0.01,0.89,100.0
4,0.0,0.0,0.0,0.01,0.52,100.0
5,0.0,0.0,0.0,0.01,0.59,100.0
6,0.0,0.0,0.0,0.02,0.96,100.0
7,0.0,0.0,0.0,0.02,0.8,100.0
8,0.0,0.0,0.0,0.01,0.84,100.0
9,0.0,0.0,0.0,0.01,0.67,100.0
10,0.0,0.0,0.0,0.01,1.24,100.0
11,0.0,0.0,0.0,0.02,0.74,100.0
12,0.0,0.0,0.0,0.02,0.9,100.0
13,0.0,0.0,0.0,0.02,1.0,100.0
14,0.0,0.0,0.0,0.02,0.75,100.0
15,0.0,0.0,0.0,0.01,0.93,100.0
16,0.0,0.0,0.0,0.06,1.86,100.0
17,0.0,0.0,0.0,0.02,1.29,100.0
18,0.0,0.0,0.0,0.03,1.43,100.0
19,0.0,0.0,0.0,0.03,1.92,100.0
20,0.0,0.0,0.0,0.03,1.76,100.0
21,0.0,0.0,0.0,0.04,1.88,100.0
22,0.0,0.0,0.0,0.05,2.37,100.0
23,0.0,0.0,0.0,0.05,1.85,100.0
24,0.0,0.0,0.0,0.09,2.08,100.0
25,0.0,0.0,0.0,0.12,2.03,100.0
26,0.0,0.0,0.0,0.18,2.53,100.0
27,0.03,0.0,0.0,0.53,3.03,100.0
28,0.0,0.0,0.0,0.61,2.8,100.0
29,0.0,0.0,0.0,1.0,2.22,100.0
30,0.0,0.0,0.0,1.0,2.81,100.0
31,0.77,0.0,0.0,12.76,13.11,100.0
32,0.33,0.0,-18.0,21.56,3604.02,100.0
33,0.97,0.0,0.0,13.41,16.03,100.0
34,0.37,0.0,0.0,7.43,4.72,100.0
35,0.53,0.0,-8.0,20.75,3603.88,100.0
36,0.86,0.0,-1.0,17.13,3604.5,100.0
37,0.54,0.0,-7.0,18.95,3603.73,100.0
38,0.45,0.0,-20.0,29.16,3604.73,100.0
39,0.97,0.0,0.0,16.44,33.09,100.0
40,0.42,0.0,-14.0,22.3,3604.39,100.0
41,0.32,0.0,-22.0,24.01,3604.86,60.0
42,0.36,0.06,-16.0,24.46,3604.53,73.33
43,0.32,0.0,-50.0,25.04,3605.41,73.33
44,0.3,0.09,-32.0,27.78,3605.43,50.0
45,0.19,0.0,-29.0,20.95,3604.74,50.0
46,0.0,0.0,0.0,0.02,1.55,100.0
47,0.0,0.0,0.0,0.03,1.36,100.0
48,0.0,0.0,0.0,0.03,1.34,100.0
49,0.0,0.0,0.0,0.02,1.17,100.0
50,0.0,0.0,0.0,0.02,2.53,100.0
51,0.0,0.0,0.0,0.02,2.46,100.0
52,0.0,0.0,0.0,0.02,2.43,100.0
53,0.0,0.0,0.0,0.02,2.19,100.0
54,0.0,0.0,0.0,0.02,2.62,100.0
