ID,Media_GAP,Gap,BKS,Mean_Time,Solver_Time,Perc_Fact
1,0.0,0.0,0.0,0.01,0.51,100.0
2,0.0,0.0,0.0,0.01,0.67,100.0
3,0.0,0.0,0.0,0.01,0.89,100.0
4,0.0,0.0,0.0,0.01,0.52,100.0
5,0.0,0.0,0.0,0.01,0.59,100.0
6,0.1,0.0,0.0,0.01,0.96,70.0
7,0.17,0.0,0.0,0.01,0.8,100.0
8,0.07,0.0,0.0,0.01,0.84,100.0
9,0.0,0.0,0.0,0.01,0.67,100.0
10,0.07,0.0,0.0,0.01,1.24,100.0
11,0.03,0.0,0.0,0.01,0.74,96.67
12,0.07,0.0,0.0,0.01,0.9,100.0
13,0.03,0.0,0.0,0.01,1.0,100.0
14,0.13,0.0,0.0,0.01,0.75,100.0
15,0.07,0.0,0.0,0.01,0.93,100.0
16,0.81,0.0,0.0,0.01,1.86,70.0
17,0.2,0.0,0.0,0.01,1.29,100.0
18,0.41,0.0,0.0,0.01,1.43,90.0
19,0.36,0.0,0.0,0.01,1.92,36.67
20,0.48,0.0,0.0,0.01,1.76,96.67
21,0.52,0.0,0.0,0.01,1.88,96.67
22,0.4,0.0,0.0,0.01,2.37,66.67
23,0.47,0.0,0.0,0.01,1.85,100.0
24,0.53,0.0,0.0,0.01,2.08,63.33
25,0.67,0.0,0.0,0.01,2.03,50.0
26,0.76,0.0,0.0,0.02,2.53,96.67
27,0.71,0.0,0.0,0.02,3.03,70.0
28,0.92,0.0,0.0,0.02,2.8,43.33
29,1.0,0.0,0.0,0.02,2.22,43.33
30,0.87,0.0,0.0,0.02,2.81,26.67
31,1.0,0.0,0.0,0.01,13.11,43.33
32,,0.0,-18.0,,3604.02,0.0
33,1.0,0.0,0.0,0.02,16.03,3.33
34,1.0,0.0,0.0,0.01,4.72,23.33
35,0.87,0.0,-8.0,0.01,3603.88,26.67
36,,0.0,-1.0,,3604.5,0.0
37,,0.0,-7.0,,3603.73,0.0
38,0.82,0.0,-20.0,0.02,3604.73,6.67
39,,0.0,0.0,,33.09,0.0
40,,0.0,-14.0,,3604.39,0.0
41,,0.0,-22.0,,3604.86,0.0
42,,0.06,-16.0,,3604.53,0.0
43,,0.0,-50.0,,3605.41,0.0
44,,0.09,-32.0,,3605.43,0.0
45,,0.0,-29.0,,3604.74,0.0
46,0.14,0.0,0.0,0.01,1.55,93.33
47,0.11,0.0,0.0,0.01,1.36,90.0
48,0.37,0.0,0.0,0.01,1.34,53.33
49,0.0,0.0,0.0,0.01,1.17,96.67
50,0.07,0.0,0.0,0.01,2.53,96.67
51,0.1,0.0,0.0,0.01,2.46,96.67
52,0.18,0.0,0.0,0.01,2.43,93.33
53,0.17,0.0,0.0,0.01,2.19,100.0
54,0.03,0.0,0.0,0.01,2.62,100.0
55,0.18,0.0,0.0,0.01,2.41,93.33
56,0.11,0.0,0.0,0.02,4.28,60.0
57,0.08,0.0,0.0,0.02,3.85,43.33
58,0.03,0.0,0.0,0.02,3.59,100.0
59,0.0,0.0,0.0,0.02,2.99,63.33
60,0.0,0.0,0.0,0.02,2.67,93.33
61,0.63,0.0,0.0,0.02,4.86,63.33
62,0.56,0.0,0.0,0.02,4.96,83.33
63,0.0,0.0,0.0,0.02,6.2,6.67
64,0.57,0.0,0.0,0.02,4.65,46.67
65,0.39,0.0,0.0,0.02,4.71,93.33
66,0.81,0.0,0.0,0.02,6.54,90.0
67,1.0,0.0,0.0,0.02,8.49,6.67
68,1.0,0.0,0.0,0.02,5.59,63.33
69,0.93,0.0,0.0,0.02,3.67,96.67
70,0.5,0.0,0.0,0.02,3.81,26.67
71,1.0,0.0,0.0,0.02,4.73,76.67
72,,0.0,0.0,,6.81,0.0
73,0.89,0.0,0.0,0.02,4.52,60.0
74,1.0,0.0,0.0,0.03,5.64,6.67
75,0.81,0.0,0.0,0.02,4.06,86.67
76,,0.0,-88.0,,3607.48,0.0
77,0.76,0.0,-22.0,0.03,3607.31,3.33
78,1.0,0.0,0.0,0.02,8.94,26.67
79,,0.18,-14.0,,3606.02,0.0
80,0.81,0.06,-17.0,0.02,3606.71,10.0
81,,0.16,-114.0,,3610.47,0.0
82,,0.23,-66.0,,3609.48,0.0
83,0.44,0.32,-39.0,0.03,3608.31,3.33
84,,0.0,-13.0,,3606.87,0.0
85,,0.24,-37.0,,3608.34,0.0
86,,0.24,-39.0,,3608.42,0.0
87,,0.12,-85.0,,3610.04,0.0
88,,0.33,-60.0,,3608.7,0.0
89,,0.22,-68.0,,3609.32,0.0
90,0.11,0.0,0.0,0.02,2.01,93.33
91,,0.0,0.0,,2.63,0.0
